year,ensemble_survival_rate,ci_lower,ci_upper,GDP_Growth,Unemployment,Inflation
2023,0.9197,0.883,0.9563,0.7246,6.8321,0.6073
2024,0.9197,0.8831,0.9564,0.7387,6.8173,0.6217
2025,0.92,0.8833,0.9566,0.7638,6.8167,0.6336
2026,0.9204,0.8837,0.9571,0.7891,6.8238,0.6378
2027,0.921,0.8843,0.9576,0.8201,6.8481,0.6465
