date,UNRATE,CPIAUCSL,GDPC1,FEDFUNDS
1990-12-31,5.616666666666667,130.65833333333333,10055.128499999999,8.099166666666667
1991-12-31,6.8500000000000005,136.16666666666666,10044.2375,5.6875
1992-12-31,7.491666666666667,140.30833333333334,10398.04625,3.5216666666666665
1993-12-31,6.908333333333334,144.475,10684.17875,3.0224999999999995
1994-12-31,6.1000000000000005,148.225,11114.64625,4.201666666666667
1995-12-31,5.591666666666666,152.38333333333333,11413.01225,5.836666666666666
1996-12-31,5.408333333333334,156.85833333333332,11843.599,5.298333333333333
1997-12-31,4.941666666666666,160.525,12370.299500000001,5.46
1998-12-31,4.5,163.00833333333333,12924.87575,5.353333333333333
1999-12-31,4.216666666666667,166.58333333333334,13543.774,4.97
2000-12-31,3.966666666666667,172.1916666666667,14096.033,6.235833333333333
2001-12-31,4.741666666666666,177.04166666666666,14230.726,3.8874999999999997
2002-12-31,5.783333333333334,179.86666666666667,14472.7115,1.6666666666666667
2003-12-31,5.991666666666667,184.0,14877.3125,1.1275
2004-12-31,5.541666666666667,188.90833333333333,15449.75725,1.3491666666666668
2005-12-31,5.083333333333333,195.26666666666665,15987.9575,3.2133333333333334
2006-12-31,4.608333333333333,201.5583333333333,16433.1475,4.964166666666666
2007-12-31,4.616666666666666,207.34416666666667,16762.445499999998,5.019166666666666
2008-12-31,5.8,215.25424999999998,16781.48475,1.9275
2009-12-31,9.283333333333333,214.56466666666665,16349.1105,0.16
2010-12-31,9.608333333333334,218.0761666666667,16789.750500000002,0.17500000000000002
2011-12-31,8.933333333333334,224.923,17052.410499999998,0.10166666666666667
2012-12-31,8.075,229.58608333333333,17442.75925,0.14
2013-12-31,7.358333333333333,232.95174999999998,17812.167,0.1075
2014-12-31,6.158333333333334,236.715,18261.714249999997,0.08916666666666667
2015-12-31,5.2749999999999995,237.00175000000002,18799.622,0.1325
2016-12-31,4.875,240.00541666666666,19141.67225,0.395
2017-12-31,4.358333333333333,245.121,19612.1025,1.0016666666666667
2018-12-31,3.891666666666666,251.0995,20193.89525,1.8316666666666668
2019-12-31,3.6750000000000003,255.65258333333335,20715.6715,2.158333333333333
2020-12-31,8.1,258.85575,20267.58475,0.3758333333333333
2021-12-31,5.358333333333333,270.96791666666667,21494.79825,0.08
2022-12-31,3.641666666666667,292.6254166666667,22034.82875,1.6833333333333333
