GDP_Growth,Inflation,Unemployment,InterestRate,survival_rate,year,forecast_type
0.4595751,0.47470024,6.4657736,1.0645365,0.9182325,2023,LSTM
0.47366172,0.48562065,6.451132,1.1983049,0.9179409,2024,LSTM
0.49051505,0.49816445,6.4254947,1.3560388,0.91759104,2025,LSTM
0.5103571,0.51238877,6.3938346,1.5353748,0.9171997,2026,LSTM
0.5361323,0.52881,6.3643813,1.727595,0.9168866,2027,LSTM
